,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
185,vazia prato,10.619509803921568,510.0,0.09206898425245785,2018-04-01,5415.95,11.6,0.9804901960784314,CO,10.412325249903883
186,batata wedge,1.3274011299435027,1947.0,0.0030145000070753328,2017-05-01,2584.45,1.33,0.0025988700564973932,CO,0.0034497430495709744
187,chuleton prato,15.044177215189874,79.0,0.8420161221918291,2021-05-01,1188.49,27.71,12.665822784810127,CO,190.54688255087328
188,costeletas de borrego prato,11.504408866995075,406.0,0.12529026630030723,2020-05-01,4670.79,12.95,1.4455911330049247,CO,16.63067144859131
189,entrecote prato,11.504397031539888,1078.0,0.04718719460697916,2020-05-01,12401.74,12.05,0.5456029684601127,CO,6.276833170751871
190,fraldinha angus,11.504444444444443,63.0,0.8074286575719399,2019-05-01,724.78,20.79,9.285555555555556,CO,106.82515802469135
191,lombo prato,11.504396325459318,762.0,0.06675563341774347,2016-05-01,8766.35,12.27,0.7656036745406816,CO,8.80780810014397
192,maminha prato,9.734500792393026,631.0,0.06821240835488801,2019-05-01,6142.469999999999,10.4,0.6654992076069739,CO,6.478302563787018
193,pao,1.3273493975903614,83.0,0.07071087679771627,2020-05-01,110.17,1.42,0.09265060240963852,CO,0.12297972129481777
194,pica-pau,5.752205323193916,526.0,0.048353475271559525,2018-05-01,3025.66,6.03,0.27779467680608416,CO,1.5979320186788908
195,picanha prato,9.734494518879416,821.0,0.05242631173324203,2016-05-01,7992.02,10.24,0.5055054811205846,CO,4.920840335231833
196,prego entrecote,6.63720823798627,437.0,0.0671557284493254,2019-05-01,2900.46,7.08,0.44279176201373005,CO,2.938901130549985
197,prego lombo,6.637206132879046,587.0,0.04999496426647621,2017-05-01,3896.0400000000004,6.97,0.3327938671209534,CO,2.208821495839726
198,prego maminha,5.486693766937669,369.0,0.06574510341544665,2017-05-01,2024.5899999999997,5.85,0.3633062330623309,CO,1.9933500444326948
199,prego picanha,5.486709265175719,313.0,0.07750802455989468,2016-05-01,1717.3400000000001,5.91,0.42329073482428115,CO,2.3224731966234216
200,prego secretos,5.4867010309278355,97.0,0.2501028379250475,2021-05-01,532.21,6.86,1.3732989690721649,CO,7.53488086938038
201,prego vazia,6.194709897610921,293.0,0.09348295032356502,2018-05-01,1815.05,6.77,0.5752901023890784,CO,3.563755291267224
202,salada mista,1.3274047954866008,709.0,0.00827820553078468,2017-05-01,941.13,1.34,0.012595204513399239,CO,0.016718934871220628
203,secretos prato,9.7345197740113,177.0,0.24317578305639315,2018-05-01,1723.0100000000002,12.1,2.3654802259886996,CO,23.026814034919713
204,vazia prato,10.619490445859872,471.0,0.09969234899198626,2018-05-01,5001.78,11.68,1.0605095541401273,CO,11.262071077934195
205,batata wedge,1.3274016686531587,1678.0,0.0034977555993636043,2017-06-01,2227.38,1.33,0.002598331346841398,CO,0.003449029365511081
206,chuleton prato,15.044183673469387,98.0,0.6787683898883398,2017-06-01,1474.33,25.26,10.215816326530614,CO,153.6886171907539
207,costeletas de borrego prato,11.504408945686901,313.0,0.16251708775037765,2018-06-01,3600.88,13.37,1.8655910543130982,CO,21.462522414233064
208,entrecote prato,11.504402277039848,1054.0,0.04826168783662726,2016-06-01,12125.64,12.06,0.5555977229601528,CO,6.391819709140936
209,lombo prato,11.5043993993994,666.0,0.07637808747153403,2020-06-01,7661.93,12.38,0.8756006006006007,CO,10.073259023663304
210,maminha prato,9.734498381877023,618.0,0.06964727995729197,2019-06-01,6015.92,10.41,0.6755016181229774,CO,6.575669408573434
