,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
141,abatanado,0.885,62.0,0.055979707288910004,2018-08-01,54.87,0.93,0.04500000000000004,AR,2.7900000000000027
142,adega de borba cortica reserva,17.073214285714286,28.0,2.39131232316778,2017-08-01,478.05,57.9,40.82678571428571,AR,1143.1499999999999
143,"agua 0,25l",0.8689592760180995,221.0,0.015420064559570183,2020-08-01,192.04,0.88,0.01104072398190048,AR,2.440000000000006
144,"agua 0,5l",1.7556539235412474,497.0,0.013853565574029158,2021-08-01,872.56,1.78,0.02434607645875264,AR,12.100000000000062
145,agua 1l,2.649048096192385,998.0,0.010409703129630818,2018-08-01,2643.75,2.68,0.030951903807615366,AR,30.890000000000136
146,"agua das pedras 0,25l",1.21951871657754,187.0,0.025575604391771287,2018-08-01,228.04999999999998,1.25,0.030481283422459926,AR,5.700000000000006
147,"agua das pedras 0,75l",2.439,350.0,0.027328940683823702,2017-08-01,853.65,2.51,0.07099999999999973,AR,24.849999999999905
148,agua de castello,1.2193548387096773,31.0,0.15425791401646055,2017-08-01,37.8,1.41,0.1906451612903226,AR,5.910000000000001
149,agua tonica fever tree elderflower,2.4389655172413796,29.0,0.3298273795464983,2017-08-01,70.73,3.24,0.8010344827586207,AR,23.23
150,alfasud,6.504065934065934,91.0,0.28029966902539866,2017-08-01,591.87,8.33,1.8259340659340664,AR,166.16000000000005
151,alfetta,6.504126984126984,63.0,0.4048811000621008,2018-08-01,409.76,9.14,2.635873015873017,AR,166.06000000000006
152,amarguinha,3.252105263157895,19.0,0.6712588667063194,2022-08-01,61.79,5.44,2.1878947368421056,AR,41.57000000000001
153,aperol spritz,5.6,125.0,0.1756940508086739,2022-08-01,700.0,6.58,0.9800000000000004,AR,122.50000000000006
154,batata wedge,1.7672611464968153,471.0,0.014714952497763438,2022-08-01,832.38,1.79,0.02273885350318472,AR,10.710000000000003
155,beefeater,4.0652380952380955,21.0,0.759181705414667,2022-08-01,85.37,7.15,3.084761904761905,AR,64.78
156,bolo de alfarroba,3.499032258064516,217.0,0.06323641698172894,2017-08-01,759.29,3.72,0.22096774193548407,AR,47.950000000000045
157,bolo de chocolate,3.5018663303909205,793.0,0.017318306413734205,2018-08-01,2776.98,3.56,0.05813366960907951,AR,46.10000000000005
158,bolo do caco,1.7587341772151899,79.0,0.08730762090037208,2022-08-01,138.94,1.91,0.15126582278481004,AR,11.949999999999994
159,bolo do caco c/ manteiga de alho,1.75864262990456,943.0,0.007313831416943259,2021-08-01,1658.4,1.77,0.011357370095439911,AR,10.709999999999837
160,bombay sapphire,4.878048780487805,82.0,0.23329816808749296,2020-08-01,400.0,6.02,1.1419512195121948,AR,93.63999999999997
161,bulldog,7.317169811320754,53.0,0.5414349749856315,2017-08-01,387.81,11.28,3.962830188679245,AR,210.02999999999997
162,cafe,0.8849774047772756,3098.0,0.0011202883277191147,2016-08-01,2741.66,0.89,0.005022595222724413,AR,15.560000000000231
163,cafe com leite,1.592888888888889,45.0,0.13881999076240903,2022-08-01,71.68,1.81,0.21711111111111103,AR,9.769999999999996
164,cafe duplo,1.7698305084745762,59.0,0.11764100002976445,2021-08-01,104.42,1.98,0.21016949152542375,AR,12.4
165,caipifrut,5.691052631578947,57.0,0.39155861928550634,2016-08-01,324.39,7.92,2.2289473684210526,AR,127.05
166,caipirinha,4.471497584541063,207.0,0.0847152695618983,2017-08-01,925.6,4.85,0.3785024154589367,AR,78.3499999999999
167,caipiroska,4.471454545454546,55.0,0.31883440020201576,2018-08-01,245.93000000000004,5.9,1.4285454545454543,AR,78.57
168,cappucino,2.212456140350877,57.0,0.15222250216743796,2022-08-01,126.11,2.55,0.3375438596491227,AR,19.239999999999995
169,carlsberg,2.0326190476190478,42.0,0.18979542635366675,2019-08-01,85.37,2.42,0.38738095238095216,AR,16.26999999999999
170,carpaccio de novilho,6.918820960698691,229.0,0.11848835010576983,2019-08-01,1584.41,7.74,0.8211790393013096,AR,188.0499999999999
171,catarina,12.195087719298245,57.0,0.8390524598099237,2018-08-01,695.12,22.43,10.234912280701755,AR,583.39
172,cha frio,2.212418604651163,215.0,0.04035597868933107,2021-08-01,475.67,2.3,0.08758139534883691,AR,18.829999999999934
173,chas de saqueta,1.592923076923077,65.0,0.0961082101686924,2017-08-01,103.54,1.75,0.1570769230769229,AR,10.209999999999988
175,cidra somersby maca,2.0325074850299405,263.0,0.030307872194447683,2017-08-01,534.5494685628744,2.09,0.05749251497005936,AR,15.120531437125612
176,citadelle,8.13,18.0,1.771320229507092,2018-08-01,146.34,22.53,14.4,AR,259.2
177,coca-cola 33cl,1.778072837632777,659.0,0.010581401049905705,2021-08-01,1171.75,1.8,0.02192716236722303,AR,14.449999999999976
178,coca-cola zero 33cl,1.7737881873727086,491.0,0.01416769857052327,2019-08-01,870.93,1.8,0.026211812627291442,AR,12.870000000000099
179,cocktail s/alcool,3.6585714285714284,56.0,0.25621382113304814,2020-08-01,204.88,4.6,0.9414285714285713,AR,52.71999999999999
180,coleslaw,1.769920634920635,126.0,0.05508867027336069,2018-08-01,223.01,1.87,0.10007936507936521,AR,12.610000000000017
181,copo adega de borba cortica reserva,3.6585096153846157,208.0,0.06897947869263035,2018-08-01,760.97,3.91,0.2514903846153844,AR,52.30999999999996
182,copo catarina,2.8454945054945053,182.0,0.0613148126256076,2016-08-01,517.88,3.02,0.17450549450549468,AR,31.760000000000034
183,copo muralhas de moncão,2.439027777777778,144.0,0.06642526511542907,2019-08-01,351.22,2.6,0.16097222222222207,AR,23.17999999999998
184,copo palha canas,2.845555555555556,81.0,0.13777204099335377,2019-08-01,230.49,3.24,0.3944444444444444,AR,31.949999999999996
185,copo papa figos,3.2520046620046617,429.0,0.029728494022451063,2019-08-01,1395.11,3.35,0.09799533799533844,AR,42.04000000000019
186,copo planalto reserva,2.8455263157894737,228.0,0.04894482741068829,2017-08-01,648.78,2.98,0.1344736842105263,AR,30.659999999999997
187,copo rose serras de azeitão,2.439,140.0,0.06832235170955925,2019-08-01,341.46000000000004,2.61,0.17099999999999982,AR,23.939999999999976
188,copo tinto de ânfora,3.0894520547945206,73.0,0.16597307555223537,2019-08-01,225.53,3.6,0.5105479452054795,AR,37.27
189,corona,2.425760869565217,184.0,0.05170222164536639,2021-08-01,446.3399999999999,2.55,0.12423913043478274,AR,22.860000000000024
