,description,avg price,qtd,elasticity,date,revenue,perfect price,price difference,restaurant,profit
164,copo tinto quinta dos carvalhais colheita,3.2520481927710847,83.0,0.256519579492023,2019-04-01,269.92,4.09,0.8379518072289152,ALV,2.725059660328058
165,copo tinto trito anfora,3.089523809523809,42.0,0.48159713525961595,2020-04-01,129.76,4.58,1.490476190476191,ALV,4.604861678004536
166,copo verde muralhas moncao,2.8453846153846154,13.0,1.432977150837351,2020-04-01,36.99,6.92,4.0746153846153845,ALV,11.593847928994082
167,corona,2.4393333333333334,15.0,1.0646859676674698,2022-04-01,36.59,5.04,2.6006666666666667,ALV,6.343892888888889
170,costeletas de borrego,14.227594936708861,79.0,1.1790875121941047,2019-04-01,1123.98,31.0,16.77240506329114,ALV,238.63098535491108
171,descafeinado,0.866983606557377,305.0,0.01861027047812572,2020-04-01,264.43,0.88,0.013016393442622953,ALV,0.011284999731255041
172,double cheese,8.728369565217392,92.0,0.6211363387056703,2020-04-01,803.01,14.15,5.4216304347826085,ALV,47.32199408081286
173,entrecote maturado,14.202314335060448,579.0,0.16059136723992454,2019-04-01,8223.14,16.48,2.2776856649395523,ALV,32.34840776993269
175,fanta laranja,0.537,10.0,0.3515733316300138,2022-04-01,5.37,0.73,0.19299999999999995,ALV,0.10364099999999998
177,fondue de chocolate,6.125,120.0,0.3341692514329352,2019-04-01,735.0,8.17,2.045,ALV,12.525625
178,fraldinha,12.936656804733728,386.0,0.21942009113161423,2022-04-01,4993.549526627219,15.78,2.8433431952662716,ALV,36.783355095234754
179,frutos vermelhos,0.0,79.0,0.0,2019-04-01,0.0,0.0,0.0,ALV,0.0
180,ginger ale fever-tree,2.091818181818182,22.0,0.6225050680091893,2020-04-01,46.019999999999996,3.39,1.2981818181818183,ALV,2.7155603305785125
181,gorgonzola,8.856612903225807,62.0,0.9352282409276345,2020-04-01,549.11,17.14,8.283387096774193,ALV,73.36275304370447
182,gratin dauphinois,0.1026909535507681,883.33,0.0007611159883602498,2019-04-01,90.71,0.1,-0.0026909535507680937,ALV,-0.0002763365860892008
183,imperial super bock,1.4296342412451362,1285.0,0.007283891241975515,2020-04-01,1837.08,1.44,0.010365758754863785,ALV,0.014819243652439815
184,jameson,4.4399999999999995,13.0,2.2360486927908054,2020-04-01,57.71999999999999,14.37,9.93,ALV,44.08919999999999
185,lagartinhos,0.0,26.0,0.0,2019-04-01,0.0,0.0,0.0,ALV,0.0
186,lagartinhos ibericos,12.101096774193548,155.0,0.5111338871004312,2022-04-01,1875.67,18.29,6.188903225806451,ALV,74.89251686160249
187,licor beirao,3.089,10.0,2.0223650305495577,2021-04-01,30.89,9.34,6.2509999999999994,ALV,19.309338999999998
188,limao manjericao,0.0,61.0,0.0,2021-04-01,0.0,0.0,0.0,ALV,0.0
189,limonada,1.4416262975778547,289.0,0.03265851941807221,2020-04-01,416.63,1.49,0.04837370242214534,ALV,0.06973680152297028
190,lingua de vitela,4.754186046511628,43.0,0.7238512959858892,2022-04-01,204.43,8.2,3.445813953488371,ALV,16.38204061654948
191,lombo,14.153529411764707,391.0,0.23698978837710247,2020-04-01,5534.030000000001,17.51,3.356470588235295,ALV,47.50590519031143
193,maca verde e gengibre,0.0,47.0,0.0,2019-04-01,0.0,0.0,0.0,ALV,0.0
194,maminha,12.06251612903226,380.0,0.20782411953957897,2019-04-01,4583.756129032258,14.57,2.507483870967741,ALV,30.246564636836624
195,manga,0.11175438596491229,57.0,0.012836048808504254,2022-04-01,6.37,0.11,-0.0017543859649122862,ALV,-0.00019606032625423269
196,mista,1.6260000000000001,15.0,0.7096936526758566,2022-04-01,24.39,2.78,1.1539999999999997,ALV,1.8764039999999997
197,mojito,5.130416666666666,48.0,0.6997663253220631,2022-04-01,246.26,8.72,3.5895833333333345,ALV,18.416058159722226
198,moleja de vitela,6.194761904761905,21.0,1.9312876487645945,2022-04-01,130.09,18.16,11.965238095238096,ALV,74.12180113378686
199,morango e hortela,0.0,28.0,0.0,2019-04-01,0.0,0.0,0.0,ALV,0.0
201,nectares compal,1.9468,25.0,0.5098271597894308,2020-04-01,48.67,2.94,0.9931999999999999,ALV,1.93356176
204,pica-pau,7.07962962962963,108.0,0.4291690764182788,2019-04-01,764.6,10.12,3.0403703703703693,ALV,21.52469615912208
205,picanha,12.0042939481268,362.0,0.21710493210741852,2022-04-01,4345.554409221902,14.61,2.6057060518731987,ALV,31.27966138909882
206,pina fumada,3.6041139240506332,158.0,0.14934237793798216,2020-04-01,569.45,4.14,0.5358860759493664,ALV,1.9313944680339667
208,portobello,0.09517152381976557,929.9,0.0006700580268161271,2019-04-01,88.5,0.1,0.004828476180234437,ALV,0.0004595334358003524
209,prego entrecote maturado,9.106451612903227,62.0,0.9616103600876734,2020-04-01,564.6,17.86,8.753548387096773,ALV,79.71376482830385
210,prego fraldinha,8.410869565217391,23.0,2.394168435712868,2022-04-01,193.45,28.55,20.139130434782608,ALV,169.38759924385633
212,prego lombo,8.888631578947368,95.0,0.6125660723007501,2019-04-01,844.42,14.33,5.441368421052632,ALV,48.3663191800554
213,prego maminha,7.952894736842104,38.0,1.3701978333501816,2020-04-01,302.21,18.85,10.897105263157897,ALV,86.66353109418283
